 tach0, tach1, tach2, tach3, tach4, tach5, tach6, tach7, tach8, tach9, tach10, tach11, tach12, tach13, tach14, tach15, tach16, tach17, tach18, tach19, tach20, tach21, tach22, tach23, tach24, tach25, tach26, tach27, tach28, tach29, tach30, tach31, tach32, tach33, tach34, tach35, tach36, tach37, tach38, tach39, tach40, tach41, tach42, tach43, tach44, tach45, tach46, tach47, tach48, tach49, tach50, tach51, tach52, tach53, tach54, tach55, tach56, tach57, tach58, tach59, tach60, tach61, tach62, tach63, tach64, tach65, tach66, tach67, tach68, tach69, tach70, tach71, tach72, tach73, tach74, tach75, tach76, tach77, tach78, tach79, tach80, tach81, tach82, tach83, tach84, tach85
237,231,237,220,208,220,225,220,225,231,248,248,254,248,243,243,231,220,196,156,104,46,28,46,69,75,81,75,46,23,0,5,28,40,40,52,52,46,57,57,81,115,127,127,115,115,115,121,127,138,144,150,144,138,133,133,127,127,121,121,92,81,92,121,127,127,121,98,98,104,98,104,121,127,127,121,121,110,98,104,115,121,127,133,138,144
255,255,254,254,254,254,248,254,254,254,254,241,228,235,235,222,222,215,195,163,78,19,19,39,52,65,65,52,19,0,6,26,45,32,32,39,45,65,71,78,111,130,130,124,124,111,104,111,130,137,137,124,124,124,130,137,150,150,150,130,97,104,130,143,137,130,111,97,117,124,124,117,124,124,124,124,111,111,111,117,124,117,124,130,130,130
255,255,255,254,247,240,247,240,240,254,254,247,240,240,225,240,240,232,240,232,203,167,160,145,94,50,36,58,58,58,21,0,21,43,43,36,58,72,58,58,72,87,109,109,116,87,80,109,131,145,145,152,145,145,152,160,160,145,167,145,87,87,87,101,109,94,80,87,72,58,65,65,80,87,80,72,80,87,72,58,50,65,72,94,116,116
248,242,248,248,235,235,229,235,254,254,242,235,248,248,248,248,235,229,223,204,161,86,43,74,99,80,68,80,74,37,0,12,43,49,31,49,74,86,93,80,93,124,136,136,117,86,80,86,86,99,124,124,117,117,117,130,136,130,142,124,80,55,55,86,124,130,99,74,74,68,68,80,80,80,99,86,80,86,80,80,74,80,99,99,105,111
215,215,222,228,228,235,241,241,235,241,228,215,228,248,248,254,254,248,248,228,182,137,71,26,39,78,78,71,45,32,0,0,19,39,32,32,39,52,52,58,78,104,124,130,137,137,124,91,104,124,137,156,143,143,143,143,156,130,117,117,91,71,52,71,111,124,124,124,91,78,97,91,91,111,124,130,124,124,124,104,91,97,97,104,104,104
216,222,216,211,200,195,216,233,238,249,254,249,243,238,233,233,222,216,195,173,151,102,70,75,75,54,43,65,70,37,10,0,21,37,37,37,59,70,75,70,70,92,108,108,97,81,70,70,81,81,108,113,92,97,97,108,108,113,119,124,108,75,70,97,119,124,108,70,75,75,65,70,65,70,92,86,70,70,75,59,48,65,75,92,102,102
255,255,254,255,254,249,243,237,232,232,215,220,220,226,237,243,254,237,203,215,203,186,158,124,90,56,39,50,45,39,22,0,16,33,28,22,28,45,45,45,45,79,107,101,101,101,73,79,101,96,96,101,96,84,84,107,101,107,118,118,107,96,73,101,107,101,84,73,79,73,73,73,73,90,101,96,90,101,96,67,79,90,84,96,107,113
255,255,255,255,249,249,238,233,254,254,243,233,238,249,249,238,238,238,222,189,157,92,32,37,70,70,59,70,59,27,5,0,21,43,43,37,65,75,75,75,75,81,108,119,113,108,86,75,70,81,102,113,113,108,108,92,102,102,113,119,113,92,75,81,102,119,119,113,97,92,86,86,92,102,113,113,108,108,113,102,97,108,113,124,140,146
255,254,248,241,241,241,248,254,248,241,248,241,234,254,248,234,221,221,214,181,127,46,13,33,60,67,73,67,46,13,0,13,40,53,46,46,60,67,80,87,100,127,140,140,140,127,107,93,114,134,140,140,134,127,107,114,120,114,127,114,87,67,73,100,114,134,134,87,80,93,87,93,114,134,127,127,107,87,87,87,100,114,120,127,127,120
255,255,255,255,255,249,249,254,249,238,232,238,243,249,249,232,227,221,193,171,160,149,132,110,66,33,49,60,55,38,11,0,11,27,22,16,27,44,38,33,38,66,83,94,88,72,60,77,88,83,99,110,88,77,77,77,88,105,105,105,66,44,33,77,88,72,55,55,55,44,44,55,66,88,99,94,105,105,99,94,94,94,83,83,94,99
255,254,254,242,242,248,235,242,242,242,254,235,210,210,222,235,222,210,203,191,165,133,121,101,95,76,38,44,63,44,19,0,0,25,31,25,31,50,70,63,57,76,108,127,127,127,89,70,89,108,114,133,140,108,89,82,95,127,127,133,121,89,82,108,133,127,114,89,89,76,63,63,70,89,121,101,76,76,89,76,70,82,89,89,101,121
238,227,243,232,221,232,227,227,216,232,232,238,249,254,238,221,221,227,210,171,132,77,33,33,60,72,60,60,55,44,11,0,11,33,44,38,44,60,66,72,77,77,105,121,127,121,99,77,77,88,110,121,121,116,110,99,99,116,121,110,88,77,77,88,116,127,116,88,77,60,77,77,83,105,110,99,105,105,88,83,88,94,94,94,116,121
255,255,254,232,232,238,238,238,243,238,238,243,238,238,238,243,254,238,232,210,177,132,72,33,44,72,72,66,60,49,27,5,0,27,49,49,44,60,72,66,77,88,110,121,132,127,116,105,88,99,116,132,132,144,132,116,121,121,127,127,116,88,83,72,99,99,110,127,116,88,94,105,110,110,110,110,99,99,105,99,94,105,110,105,110,110
255,254,248,237,243,254,254,243,243,248,237,248,237,225,220,231,231,231,220,185,133,69,17,23,52,57,57,69,57,28,11,0,17,40,40,23,34,40,57,63,63,69,92,104,104,104,81,81,98,104,110,110,92,69,69,69,81,86,81,81,40,28,28,46,69,81,75,57,46,40,40,46,57,69,69,69,69,69,63,52,63,69,75,86,104,110
255,255,249,228,244,244,244,254,244,244,244,244,239,234,223,213,213,223,208,176,140,88,41,57,78,62,46,67,72,46,10,0,10,36,46,36,52,67,88,62,52,78,104,104,104,88,67,72,78,109,114,93,83,83,83,104,109,109,104,78,41,36,62,104,119,104,72,67,57,57,67,67,83,93,67,57,72,78,67,62,72,83,83,98,109,104
254,248,254,254,248,248,248,248,248,254,254,248,248,234,234,228,201,174,161,147,140,120,107,93,93,73,46,46,67,60,46,6,0,6,20,13,33,53,80,87,87,114,134,140,140,114,80,100,127,134,154,154,134,134,120,134,147,161,174,174,161,114,87,100,114,87,60,60,60,53,60,60,60,80,73,46,46,67,67,53,46,60,67,73,87,93
255,255,255,255,244,238,249,244,249,249,249,254,249,244,238,233,238,233,238,228,201,159,90,53,74,90,69,53,69,63,26,0,0,31,53,47,58,79,84,90,74,74,100,106,111,106,90,79,90,100,116,127,111,95,106,100,106,122,116,122,79,63,53,84,111,122,111,84,74,74,74,74,90,111,122,116,111,111,111,106,90,100,106,106,122,132
243,254,254,237,225,237,243,237,237,231,225,237,237,237,243,254,243,243,237,207,183,154,118,106,106,77,35,47,65,53,23,0,5,29,35,17,29,47,47,47,53,88,100,100,106,77,53,59,94,83,112,106,77,88,65,77,94,100,106,88,53,35,59,88,100,77,59,65,65,53,53,59,65,71,83,65,47,53,53,41,35,53,59,59,77,77
235,229,235,211,204,217,217,229,242,248,254,248,248,248,242,248,235,217,192,161,99,37,31,55,74,55,62,55,24,0,0,18,37,37,43,49,49,49,49,43,68,105,124,117,86,80,80,86,93,111,124,130,111,117,117,130,130,111,117,86,80,80,86,105,111,111,93,80,80,68,62,68,80,80,80,80,80,80,80,80,80,99,105,124,142,124
255,254,248,242,248,254,248,236,236,236,236,236,218,212,218,206,206,194,182,151,97,48,48,54,48,42,48,48,24,6,0,18,36,30,30,48,66,66,54,78,91,121,127,121,91,84,84,103,115,121,127,115,115,103,109,109,127,139,127,91,72,84,109,133,133,109,84,84,66,54,66,72,84,103,84,84,84,84,84,84,84,84,91,109,115,97
255,248,248,254,248,235,235,242,254,254,248,235,242,235,216,229,216,203,203,178,121,44,38,50,57,44,50,63,50,12,0,6,38,50,38,44,57,57,50,44,50,76,95,95,95,89,76,82,101,133,146,140,108,133,146,152,146,121,127,95,70,63,63,82,108,114,82,70,70,57,57,57,70,82,70,70,76,70,70,63,63,70,76,95,101,95
