 tach0, tach1, tach2, tach3, tach4, tach5, tach6, tach7, tach8, tach9, tach10, tach11, tach12, tach13, tach14, tach15, tach16, tach17, tach18, tach19, tach20, tach21, tach22, tach23, tach24, tach25, tach26, tach27, tach28, tach29, tach30, tach31, tach32, tach33, tach34, tach35, tach36, tach37, tach38, tach39, tach40, tach41, tach42, tach43, tach44, tach45, tach46, tach47, tach48, tach49, tach50, tach51, tach52, tach53, tach54, tach55, tach56, tach57, tach58, tach59, tach60, tach61, tach62, tach63, tach64, tach65, tach66, tach67, tach68, tach69, tach70, tach71, tach72, tach73, tach74, tach75, tach76, tach77, tach78, tach79, tach80, tach81, tach82, tach83, tach84, tach85
228,234,228,234,221,228,241,234,234,221,194,187,234,254,248,241,241,241,228,221,214,174,127,114,114,93,53,73,93,93,67,20,0,40,60,40,53,73,93,93,93,93,114,134,140,134,107,100,100,120,134,147,154,140,140,134,140,154,147,161,161,140,120,114,127,147,140,120,107,107,100,100,100,107,120,120,107,107,114,107,93,93,100,114,120,120
255,255,255,255,247,240,232,247,255,255,247,247,255,255,255,247,240,240,232,225,195,165,142,135,82,45,75,82,75,60,15,0,37,75,52,52,82,82,82,75,82,105,120,120,112,90,75,90,97,97,112,127,112,112,120,120,127,127,135,127,105,82,75,105,127,105,82,75,75,75,75,82,82,90,90,82,82,90,82,75,82,90,90,90,105,105
255,255,255,242,242,242,242,242,235,248,254,235,229,235,216,222,229,216,216,216,178,152,152,127,82,50,50,76,70,63,19,0,25,57,50,44,57,82,76,57,63,95,121,121,121,95,76,95,121,140,152,146,127,140,152,165,165,152,152,121,89,82,89,114,121,108,89,82,63,63,70,76,89,101,89,82,89,89,82,70,70,76,82,101,114,108
255,255,255,237,249,254,243,231,237,243,243,243,219,213,213,213,219,207,183,160,118,77,71,71,41,29,47,53,41,17,0,5,35,29,29,47,71,88,71,71,106,112,130,124,106,94,94,106,118,124,124,118,118,112,112,112,124,136,130,106,83,88,106,124,124,112,94,88,71,65,83,88,100,112,106,94,88,83,83,83,94,94,106,112,112,112
238,232,221,232,199,204,216,216,221,227,238,249,249,254,238,232,232,210,193,160,105,55,27,33,55,66,77,72,49,22,0,5,22,44,44,44,55,38,38,49,55,88,110,110,110,105,110,110,110,116,121,138,138,132,127,121,121,116,105,110,99,77,77,94,110,110,110,99,88,94,94,83,94,105,105,99,99,99,94,88,94,99,105,110,105,116
243,255,255,243,233,243,243,249,254,238,233,243,238,238,243,249,243,238,222,195,157,113,86,92,92,70,43,75,75,54,16,0,10,37,43,21,37,54,59,59,59,97,124,113,108,81,70,75,81,86,108,102,81,75,75,81,92,102,97,86,65,48,43,70,92,92,86,81,75,70,70,70,75,81,81,75,70,70,65,59,65,75,75,81,97,92
255,255,255,255,244,249,255,239,244,244,249,255,244,239,224,224,224,214,209,204,193,183,158,127,102,61,30,56,61,61,35,5,0,40,45,35,45,61,66,56,56,81,107,102,102,71,71,76,81,96,102,107,81,102,91,86,86,102,107,96,71,61,51,81,107,91,61,56,66,51,45,45,51,66,71,56,56,66,66,66,51,61,66,71,91,102
248,237,248,254,248,237,237,248,254,248,243,237,231,214,214,191,173,162,144,133,110,69,40,57,81,75,52,57,63,52,17,0,11,17,17,23,40,69,75,75,81,110,133,133,127,110,92,86,104,115,133,133,121,110,121,127,156,156,162,179,144,110,81,92,98,98,86,75,69,69,69,75,81,86,81,69,69,81,81,75,69,81,98,104,104,104
255,255,240,230,245,245,254,254,250,250,245,240,235,230,226,221,221,230,211,182,134,62,19,33,76,67,76,81,57,19,0,4,38,52,48,57,62,72,81,76,76,91,105,110,105,105,105,105,101,115,134,134,115,115,96,96,91,110,115,110,72,57,86,115,120,125,105,86,81,91,91,96,110,115,105,96,96,105,96,101,105,110,101,105,105,91
243,249,243,227,243,254,254,238,238,243,254,238,227,233,227,233,238,222,195,140,70,21,43,70,65,70,75,48,16,0,5,32,37,27,27,37,48,65,70,75,86,97,108,113,102,97,86,102,113,119,119,124,113,102,86,92,102,92,113,102,70,37,70,92,97,86,81,70,70,75,81,75,86,92,97,97,92,81,81,92,92,97,97,97,108,108
254,255,255,243,238,243,249,243,249,254,249,254,254,243,238,254,254,249,243,222,178,130,102,97,92,70,43,70,75,70,27,0,5,32,37,32,48,70,86,81,75,86,108,119,119,108,102,86,86,102,124,130,135,135,130,113,124,124,124,130,113,92,92,81,102,113,119,130,113,92,102,108,108,113,119,113,102,97,97,92,102,113,119,113,113,119
227,216,249,255,238,227,227,233,238,249,243,227,238,238,254,238,216,205,178,162,135,108,97,97,86,48,37,54,70,54,21,0,0,21,32,27,37,70,81,70,59,86,102,108,119,108,86,65,86,92,119,130,119,124,119,113,113,124,130,119,97,81,75,81,97,119,108,97,92,59,70,86,92,102,97,92,97,97,92,86,92,97,92,102,113,108
254,249,249,237,237,237,237,249,254,243,249,243,232,215,215,215,203,198,175,135,101,50,28,33,50,67,73,62,45,22,5,0,28,50,45,33,39,33,39,67,79,96,124,124,118,113,107,101,107,124,135,147,135,130,135,113,113,118,124,130,130,101,96,118,147,130,130,101,79,79,96,101,101,118,124,124,124,124,124,124,124,118,101,107,113,118
255,255,255,255,255,255,244,244,239,239,239,239,244,255,255,234,219,214,198,168,122,81,76,91,91,61,61,81,66,30,0,0,30,35,15,20,35,45,51,56,66,81,96,96,91,81,81,86,86,96,117,127,117,96,86,81,86,86,86,81,40,30,40,71,102,107,91,81,71,66,66,71,86,102,107,107,112,112,107,117,117,117,117,127,117,107
255,255,255,254,254,248,254,254,241,241,241,234,241,254,254,241,228,228,221,187,127,60,13,13,46,67,80,73,40,20,0,6,33,53,46,53,46,40,60,80,100,114,140,154,147,134,120,107,114,134,140,140,140,147,120,134,140,114,134,120,73,67,107,134,134,140,120,80,93,100,100,114,120,127,127,120,120,107,100,120,120,114,120,127,120,114
245,250,254,255,240,236,240,221,231,254,245,217,217,226,231,240,236,231,231,221,193,169,122,56,56,75,80,61,66,75,42,14,0,9,42,47,28,51,75,80,80,75,75,99,113,108,94,80,61,70,75,89,99,89,80,84,84,89,103,103,108,94,84,80,89,108,103,94,84,80,80,75,75,80,94,103,94,94,103,94,89,84,94,94,103,113
255,255,255,255,255,255,250,240,240,250,255,250,250,250,235,250,240,235,225,205,190,175,130,85,90,95,75,50,60,75,60,20,0,0,25,40,30,50,80,85,90,85,85,100,110,105,100,85,75,85,85,100,105,110,90,85,95,105,110,120,120,100,90,100,110,120,120,105,95,90,90,90,90,100,110,110,110,110,110,100,90,95,110,110,120,125
224,224,219,219,209,204,209,219,229,255,255,255,249,249,249,234,229,219,198,183,153,112,56,15,30,66,71,81,81,56,25,0,5,30,45,40,56,61,56,66,81,81,96,107,107,107,107,96,102,107,117,127,117,122,117,102,117,112,112,117,91,76,66,96,117,112,112,96,71,81,86,81,86,102,107,102,96,96,86,81,91,86,91,107,107,117
204,204,210,227,216,216,227,221,227,232,204,188,221,254,243,232,227,221,221,204,177,132,72,33,55,88,77,72,72,55,33,0,0,16,44,38,33,49,55,60,60,77,94,105,110,116,110,88,88,105,116,144,138,127,138,127,149,127,116,110,94,72,55,77,110,116,121,105,88,88,94,94,94,105,116,116,110,105,94,94,94,94,94,94,94,94
254,254,241,241,241,241,228,241,254,254,254,241,241,241,241,254,228,222,215,222,202,169,150,130,111,58,32,52,65,65,32,0,0,39,52,19,26,52,58,52,52,91,111,111,104,84,52,71,91,91,111,117,104,124,124,124,124,124,124,124,97,58,65,97,111,97,71,58,52,45,45,58,65,78,91,71,65,78,71,58,52,58,65,65,71,84
255,255,255,255,228,234,228,234,221,241,241,254,254,221,194,147,161,147,154,161,154,127,114,87,73,33,26,26,26,33,26,6,0,6,26,13,20,40,20,26,40,40,46,73,60,46,60,60,93,107,87,100,73,73,100,114,134,140,154,120,80,73,73,100,87,80,80,67,67,46,33,53,46,40,53,60,73,87,67,67,33,33,33,33,46,60
